id,name,album_name,artist_ids,danceability,energy,speechiness,acousticness,valence,tempo,duration_ms
2oW52tBeJNSv93Ct5AJb8q,Una Noche Sin Pensar,Una Noche Sin Pensar,07YUOmWljBTXwIseAUd9TW,0.676,0.858,0.0467,0.0354,0.67,139.998,161173
6IyoLWzljeR3ldQo4KWHT6,Out thë way,Lyfë,3qiHUAX7zY4Qnjx8TNUzVx,0.767,,0.242,0.21,0.798,128.07,150242
7qiUjLVo6zLj8WmxPMqoXD,Einmal um die Welt,Raop,3utZ2yeQk0Z3BCOBWP7Vlu,0.726,,0.0401,0.133,0.973,160.139,142463
3GGgcGLYrrpMENcwmsWvbM,Matador,Matador,2Z9KL8Zmqx5Sg3cd7Fldhl,0.752,0.743,0.273,0.478,0.738,98.885,139594
0Sfn2TYbpQtCGMBf6C0Y6T,PLAYA DEL INGLÉS,DONDE QUIERO ESTAR,"52iwsT98xCoGgiGntTiR7K,7iK8PXO48WeuP03g8YR51W",0.793,0.736,0.0469,0.0822,0.656,112.993,237525
38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),Cracker Island,"3AA28KZvwAUcZuOKwyblJQ,4q3ewBCX7sLwd24euuV69X",0.637,0.768,0.056,0.458,0.297,94.982,193464
7MlDNspYwfqnHxORufupwq,"Sex, Drugs, Etc.",Pineapple Sunrise,7I3bkknknQkIiatWiupQgD,0.57,,0.0381,0.0136,0.47,143.975,196784
4UGqAW9i7NtE5mW9xzm6yk,PUNTO 40,SATURNO,"1mcTU81TzQhprhouKaTkpq,0GgyFUpOyzWDRDqx8FCTDN",0.857,0.829,0.0842,0.00112,0.208,106.993,190654
1zsPaEkglFvxjAhrM8yhpr,Hey Mor,OzuTochi,"1i8SpTcr7yvPOmcqrbnVXY,2LRoIwlKmHjgvigdNGBHNo",0.901,0.589,0.289,0.00302,0.399,98.002,196600
4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,OneRepublic (Japan Paradise Tour Edition),5Pwc4xIPtQLFEnJriah9YJ,0.697,0.802,0.0456,0.0988,0.822,139.951,148120
5qEGAHerczFt3HmL9lhh4j,Nachts wach (Lila Wolken Bootleg),Nachts wach,"76dRoxKtDwYkgCQePok9cU,6ARKr2ZoLf9TDoQiZarJMt",0.667,0.849,0.124,0.165,0.752,155.002,158080
4rPJSqrov3zqGwXlemLBMw,Escapism. - Sped Up,Escapism. (Sped Up),"5KKpBU5eC2tJDzf0wmlRp2,12Zk1DFhCbHY6v3xep2ZjI",0.435,0.768,0.201,0.0857,0.378,107.588,239888
31jtlGwefCdtqNOSpLq82U,Polaris,1371 KM,"2O8vbr4RYPpk6MRA4fio7u,6Q3ske8DX705YojfAgidez",0.54,0.541,0.231,0.487,0.52,84.332,192122
3kgt8Ys78I6GBZlQrWqZiA,Nachts wach,Nachts wach,"76dRoxKtDwYkgCQePok9cU,6ARKr2ZoLf9TDoQiZarJMt",0.719,0.685,0.257,0.569,0.632,136.172,178973
6otePxalBK8AVa20xhZYVQ,MIENTRAS ME CURO DEL CORA,MAÑANA SERÁ BONITO,790FomKkXshlbRYZFtlgla,0.523,0.477,0.392,0.855,0.57,79.921,164387
38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),7jVv8c5Fj3E9VhNjxT4snq,0.637,0.715,0.0455,0.148,0.308,141.872,210576
25MXhQD6t6jkWhYcuGBcjt,ANTAGONISTA,ANTAGONISTA,5fmYDIdgEkSgLdL6esxgfp,0.77,0.702,0.0426,0.0397,0.349,100.042,132600
6Y46tOTRhkBamosyuWa6YX,LA FAMA,MOTOMAMI,"7ltDVBr6mKbRvohxheJ9h1,1Xyo4u8uXC1ZmMpatF05PJ",0.766,0.295,0.0464,0.947,0.805,136.016,188107
1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry's House,6KImCVD70vtIoJWnq6nGn3,0.714,0.728,0.0468,0.298,0.901,114.996,177955
4Rjq1TZbF0bDstOs6SiI6J,LACONE,LACONE,"768O5GliF0bqscyghggrbE,52iwsT98xCoGgiGntTiR7K,0Q8NcsJwoCbZOHHW63su5S",0.798,,0.0443,0.263,0.727,126.01,260952
4zLCLlqLivpZXvYfQCqTWh,Ich glaub ich will heut nicht mehr gehen,Glas,"2kS9NyuATpYwjeB93h24H5,2f7f3AmL16mmiAmYnxmmfx",0.856,0.603,0.193,0.347,0.504,121.977,175554
